name,citedby,citedby5y,hindex,hindex5y,i10index,i10index5y
Micaela Y. Chan,4507,3324,13,13,17,14
Walter Voit,4504,3466,32,30,64,61
Fang Qiu,4458,2482,39,27,83,69
Lucien Tres Thompson,4429,941,27,16,39,22
William Vandenberghe,4428,2963,31,25,61,52
Jeremiah J Gassensmith,4413,2906,31,25,51,46
Colleen Le Prell,4293,2687,36,29,64,54
andrea fumagalli,4242,847,29,13,100,19
Robert Kieschnick,4234,2035,24,17,34,21
Yulia R. Gel,4226,3179,28,25,62,53
Thomas Brunell,4206,1379,28,17,44,24
Li Zhang,4167,1410,38,20,57,36
Cuili QIAN,4146,3438,12,12,13,12
Bruce A. Jacobs,4102,1661,26,22,36,29
Mustapha Ishak,4058,2122,34,22,56,46
J. Richard Harrison,4014,1170,20,13,26,15
Shashank R. Sirsi,4002,1906,28,21,39,33
Ted Moise,3977,933,34,14,83,26
R Rao,3937,1037,28,16,42,27
John Worrall,3930,1849,36,25,71,48
Christa McIntyre,3911,1859,29,23,43,42
Kang Zhang,3903,1350,33,19,110,42
Surya Janakiraman,3803,1593,12,10,14,10
Prabhakaran Balakrishnan,3793,1315,32,18,95,36
Jeff Weekley,3775,1306,26,19,29,23
Monica Jung de Andrade,3686,2772,27,22,38,31
Kenneth Hoyt,3585,2140,33,29,72,59
Dr. Kui Tan,3569,3112,28,28,44,43
Kurt Beron,3558,1345,25,19,33,23
P. C. Dave P. Dingal,3556,2637,14,14,15,14
Majid Minary,3544,2498,30,28,57,55
Lakshman Tamil,3544,1132,29,19,57,27
Sriraam Natarajan,3533,2308,30,25,77,63
Ronald A. Smaldone,3525,2445,26,23,40,37
Stefano Leonardi,3487,2242,27,25,48,38
Seth Hays,3446,2800,29,28,51,50
Mihaela C. Stefan,3433,1996,32,23,74,57
Kaloyan Penev,3430,2600,38,33,77,76
Prof David Lumley,3402,1292,27,18,53,33
Sanjay Jain,3400,1545,19,17,23,19
Robert Lowry,3393,796,20,13,22,14
Sheel Dodani,3358,2159,18,15,19,18
Robert A. Ackerman,3348,2524,25,24,33,32
Sumit Sarkar,3324,1043,29,20,48,27
Hoi Lee,3312,1452,29,21,58,40
Sven Kroener,3305,1569,30,25,38,32
Linda Camp Keith,3297,1110,19,15,25,17
Yifei Lou,3268,2130,27,24,47,43
Lisa Goffman,3236,1236,30,20,44,34
Feng Chen,3226,2617,27,24,65,59
Melanie Spence,3219,753,21,11,25,12
Livia Markoczy,3172,1182,27,18,36,22
Vijay Mookerjee,3150,1585,34,22,73,48
Robert G Morris,3101,2017,30,26,59,49
Faruck Morcos,3099,2136,20,19,37,31
Yuke Wang,3029,689,24,14,43,14
Jeffrey S Spence,2959,2068,27,24,50,40
Karen J Prager,2956,712,20,11,26,11
CD Cantrell,2936,355,29,8,61,5
Tyler Summers,2909,2272,27,25,61,57
Carlos Aiken,2885,748,26,14,43,15
M Josefina Arellano-Jimenez,2879,2581,20,17,28,24
Dung T Huynh,2870,457,22,10,40,11
Umit G. Gurun,2731,2095,20,19,29,25
William Katz,2677,594,28,15,42,21
Richard M. Golden,2672,783,24,12,44,19
Michael C. Biewer,2665,1426,31,21,62,43
Patrick Brandt,2648,1296,23,20,30,27
Matthew Goeckner,2624,699,29,13,59,14
Bill Hefley,2612,619,24,14,38,19
L. Douglas  Kiel,2600,550,22,11,28,14
Paul Martin Lester,2599,846,18,12,28,13
Justin Ruths,2591,2088,26,22,41,38
Yuan Zhang,2564,1370,14,12,16,13
Ramachandran Natarajan,2561,1140,16,13,20,14
Stacie L. Warren,2544,1399,22,19,25,24
Leonidas Bleris,2519,1198,25,19,41,28
Guoping Xiong,2457,1970,25,23,34,32
Mandy J Maguire,2454,1150,25,20,43,32
Meghan R Swanson,2399,2229,19,18,29,24
Jianqing Chen,2396,1598,22,17,25,23
Hengji Zhang,2377,1521,12,11,12,11
Wei Yang,2349,1928,19,19,24,24
marco atzori,2341,1011,25,18,42,25
Don Shaw,2319,124,25,7,37,6
Tomislav Kovandzic,2314,1103,27,23,32,28
Murat Torlak,2301,1357,20,14,38,20
Gil Sadka,2230,1020,18,14,27,16
D. Todd Griffith,2226,1232,25,19,73,40
Vibhav Gogate,2206,1094,26,18,45,36
Daniel Arce,2202,819,23,17,43,22
Purna Joshi,2198,1141,14,12,14,12
Yonas Tadesse,2196,1547,26,22,51,44
Seth H. Giertz,2188,1074,12,8,13,5
Mihai Nadin,2187,860,24,16,52,31
Allison Stelling,2185,1625,30,28,40,38
Lloyd Lumata,2129,1362,24,20,36,32
Stanimir Markov,2123,1341,18,17,20,19
Xianming Dai,2120,1853,20,19,24,23
Issa Panahi,2106,1090,21,15,56,28
Xiaojia Zhang,2067,1772,25,24,51,51
Jun Xia,2062,1471,21,18,26,24
Jiyong Lee,2061,914,16,12,22,15
Peter Lewin,2047,809,25,16,44,24
Tevfik Dalgic,2045,838,21,12,28,15
