name,citedby,citedby5y,hindex,hindex5y,i10index,i10index5y
Mohammad-Mahdi Bidmeshki,215,184,9,8,8,7
Jianjun Du,213,113,5,4,4,3
Kelly N Jahn,212,198,9,9,9,9
Mehdi Karbalayghareh,209,209,7,7,6,6
Zelun Kong,209,209,5,5,4,4
Kallol Mukherjee,209,208,7,7,7,7
Bambi DeLaRosa,207,189,6,6,5,4
Toby Elery,206,205,5,5,5,5
Naimul Hassan,204,203,6,6,5,5
Syed Huzaif Ali,203,202,6,6,5,5
Yan-Feng Zhou,201,197,10,10,11,10
Maryam Ashkaboosi,201,165,5,5,5,5
Su Min Hwang,201,187,9,7,6,6
Benjamin Batchelor,201,166,8,8,8,6
Hafez Eslami Manoochehri,200,190,7,7,5,5
Mithun Balakrishna,200,96,7,6,6,5
Matthew S Heins,198,38,9,4,8,1
Luis A. Rodriguez II,198,197,6,6,6,6
Kanchan Bahirat,197,163,6,6,5,4
Yaoqiao Hu,197,195,6,6,6,6
Gu Eon Kang,196,190,9,9,8,7
Junfeng Guo,195,195,5,5,4,4
Prasanna Kothalkar,194,182,6,6,4,4
David A Hoagey,192,190,8,8,8,8
Howard Dover,191,122,6,6,4,4
Yang Wang,190,190,5,5,2,2
Niloofar Mohammadi,188,150,5,5,5,4
Alejandro Rivera,188,173,5,5,3,3
Shashini Diwakara,188,186,6,6,5,5
Carie King,187,95,7,6,5,4
Abouzar Gharajeh,183,183,3,3,3,3
Wei Xiao,183,183,5,5,5,5
Sasya madhurantakam,181,169,8,8,7,7
Yufei Gu,181,133,5,5,5,5
Nimali Abeykoon,178,157,4,4,4,4
Anurag Nagar,176,75,6,5,5,3
Seong Yeoul Kim,175,162,6,6,4,3
Krishnateja Killamsetty,175,175,6,6,5,5
Liang Shuai,174,90,6,5,6,4
Ashwin Venkataraman,173,159,5,5,5,5
Hamilton Lee,173,173,6,6,6,6
Suraj Kothawade,173,172,7,7,5,5
Xiuyao Lang,173,173,8,8,8,8
Dongcheng Li,173,173,8,8,7,7
Wesley Brigner,171,171,6,6,4,4
Masoud Alahbakhshi,169,161,8,8,7,6
Yuguang Zhao,169,169,6,6,5,5
Mohammad Hassan Ghaderi,167,167,5,5,1,1
Juan Carlos Godinez,165,165,7,7,5,5
Mary Urquhart,165,39,5,4,3,0
Sumit Jha,164,160,7,7,7,7
Boya Zhang,164,164,5,5,3,3
Chengyi Gao,162,56,8,4,8,2
Mohammed Belal Uddin,160,158,7,7,7,6
Aliehsan Samiei,160,160,3,3,3,3
Jean-Marie Meier,158,148,6,6,4,4
Lei Chen,158,135,7,5,6,4
Thomas Lavastida,157,157,4,4,3,3
Avisek Maity,156,156,4,4,3,3
Nursadul Mamun,153,143,6,6,5,5
Ana Hernandez-Reynoso,153,151,5,5,4,4
Guang Zhou,152,129,5,4,3,3
Mohammad Aliakbari,151,96,3,3,3,3
Dema Abdelkarim,151,151,5,5,4,4
Nasim Arbab,150,109,5,3,4,1
Zhuo Chen,150,148,6,6,5,4
Szu-Jui Chen,150,150,5,5,4,4
Adam Hartman,149,75,6,4,5,3
Tariq M Ali,148,60,7,5,6,2
Donald Kretz,147,103,6,5,5,5
Vignesh Kalidas,146,136,4,4,4,4
Sutton E. Wheelis,146,139,6,6,3,3
Pawan Koirala,146,146,2,2,1,1
Meghana Satpute,144,140,5,4,4,4
Harish Kaza,143,112,7,7,5,5
Kolade Oyekan,141,141,6,6,5,5
Sobhan Badakhshshan,141,141,4,4,4,4
emre yetkin,141,103,4,4,4,3
Ahmad Daniar,140,140,5,5,5,5
Ankit R. Parikh,140,115,2,2,2,2
Bharath Bhushan Ravichander,139,139,7,7,3,3
Zijie Wang,138,138,7,7,6,6
Juan Manuel Florez,138,137,5,5,5,5
Tanya Danaphongse,138,137,8,8,7,7
Jinwon Jeong,138,138,4,4,4,4
Yan Xiao,137,109,7,7,7,5
Brian Ricks,137,49,6,4,4,2
Juliet Mwirigi,137,137,5,5,4,4
Xun Liu,137,137,6,6,6,6
Kiruba Sankaran Subramani,136,129,7,7,7,7
Yinghua Zhang,135,66,7,5,4,2
Devangsingh Sankhala,135,134,6,6,5,5
Nickolas Ashburn,135,135,6,6,5,5
Mustafa Safa Ozdayi,135,134,5,5,5,5
Viraj Mavani,135,135,5,5,3,3
Mengmeng Zhang,135,135,4,4,3,3
Seyed Mahmoud Hosseini,134,88,4,4,4,3
Savyasachi Gupta,134,134,4,4,3,3
Mohamed Fadel Shady,133,82,6,6,3,2
Zhiyu Chen,133,130,6,6,4,4
Vigneshwaran Gurusamy,131,131,5,5,3,3
Xiangyu Zhu,131,131,5,5,3,3
Maxim Dm. Arnold,130,104,7,6,5,5
Soumil Mandal,129,129,7,7,7,7
Jashkaran Gadhvi,128,128,6,6,5,5
Yeungjeom Lee,124,121,7,7,5,5
Aldo Garcia-Sandoval,124,121,4,4,4,4
Joshua Usoro,124,122,5,5,4,4
Nan Wu,124,124,6,6,4,4
Nikita Kvasovs,124,124,5,5,3,3
Jessica Ouyang,123,112,5,5,5,5
Farzad Karami,123,119,6,5,4,4
Lingchao Chen,123,123,5,5,5,5
Robert Andrew Morrison,122,121,5,5,5,5
Lokesh Basavarajappa,122,119,6,5,4,4
Christopher Mace,122,93,4,4,3,3
Yahan Wei,122,110,5,5,5,5
Linlin Fan,122,122,7,7,5,5
Jonas Hedlund,121,112,4,4,2,2
Sahand Hadizadeh Kafash,121,121,5,5,5,5
Liheng Zheng,121,109,7,7,5,5
Benjamin Gravell,121,121,6,6,3,3
Li Wang,120,120,6,6,4,4
Nikesh Kunder,119,119,5,5,4,4
Nishtha Sharma,118,108,6,6,5,5
Rahman Sajadi,118,118,3,3,2,2
Bharath Shamasundar,118,118,5,5,5,5
Martin Gregorio Reyes Banda,117,109,6,6,4,4
Josef Nguyen,116,113,5,5,5,5
Carlos Avila-Avendano,116,115,7,7,5,5
Mu Yang,116,116,5,5,5,5
Patricia Leach,116,22,5,2,4,1
Shou-Yu Lee,115,87,7,7,3,1
JOONHWI JOO,115,111,4,4,4,4
Ruwan Gunawardhana,115,115,5,5,4,4
Jyotirmoy Sarma,115,115,5,5,3,3
Vikram Narayanan Dhamu,115,115,5,5,4,4
Dushanthi Shamila Dissanayake,114,96,4,4,3,3
Hazen Eckert,113,94,2,2,2,2
Shakil Mohammed,112,92,4,4,3,3
Ritesh Kumar Malaiya,112,112,3,3,2,2
Patrick Cheung,112,112,3,3,3,3
Ram C M C Shekar,112,112,5,5,2,2
Oziel Rios,111,77,5,5,1,1
Soroush Senemmar,111,111,6,6,3,3
Marzieh Ershad,110,101,6,6,4,3
Lamia Alam,110,105,7,6,4,4
Zi Wang,110,110,3,3,3,3
"Steven J. Foland, PhD",109,54,6,4,4,2
Peng Zhou,109,108,5,5,4,3
Shamik Kundu,109,108,6,6,5,5
Ziyan Zhang,109,108,5,5,2,2
Laiah Factor,108,78,1,1,1,1
Djakhangir Zakhidov,108,102,5,4,2,2
Devashish Lingam,108,82,2,2,1,1
Jason Kautz,108,107,6,6,2,2
Sameer Arora,107,105,5,4,2,2
Jesse Bucksot,107,107,6,6,5,5
Yue Fei,106,73,6,5,5,2
Pumpki Lei Su,106,105,6,6,2,2
Hamid Reza Firouzi,106,98,5,5,5,5
Jonathan Hartmann,106,45,4,4,4,2
Khairun-nisa Hassanali,105,52,7,5,4,1
Erling Beck,105,30,1,1,1,1
Hamed Alemansour,104,104,5,5,3,3
Jason Lin,104,52,4,4,2,2
Yichuan Lu,103,97,5,5,4,4
Sanobar L. Patel,102,67,3,3,2,2
Rodolfo Antonio Rodriguez Davila,101,95,6,6,3,3
Arman Boskabadi,101,99,5,5,3,3
Adam R. Girard,101,101,3,3,1,1
Ehsan Nourbakhsh,100,27,5,2,4,1
Li Ren,100,78,4,4,3,3
Olivia Banner,100,78,6,6,5,4
Khyati Chandratre,99,96,5,5,2,2
Zhen Xu,98,31,4,3,4,1
Thomas R. Gray,98,94,5,5,3,3
Gangyi Hu,98,97,4,4,2,2
Neha Hulyalkar,98,98,4,4,2,2
Xiaoxiao Tang,98,98,4,4,2,2
Lei Zhang,96,84,5,5,4,4
Behzad Mirkhanzadeh,96,95,6,6,3,3
Erfan Khodabakhshi,96,96,5,5,5,5
Bhanu Teja Vankayalapati,96,96,7,7,3,3
Hung Do,96,94,3,3,3,3
Ramon Maldonado,96,96,6,6,5,5
Veronica Minsu Hong,95,90,1,1,1,1
Durgasha Poudyal,95,79,4,4,3,3
Mingzhu Hou,95,82,5,5,3,3
G Veera Bharath,95,95,4,4,2,2
Hemeng Tao,95,94,6,6,4,4
Mohammad Esmaeili,94,94,7,7,4,4
Aditya Joglekar,94,94,4,4,3,3
Kim Knight,93,66,4,3,1,1
Md Emran Hossain Bhuiyan,93,93,4,4,4,4
Harsh Bimal Desai,93,93,3,3,3,3
Simon Siegenthaler,92,91,5,5,2,2
Kamalesh Palanisamy,92,92,2,2,1,1
Nishant Gurrapadi,92,92,4,4,2,2
Tingting Zhang,92,92,5,5,3,3
Ankam Srujan yadav,92,92,7,7,4,4
Tiantian Chen,92,92,6,6,4,4
Shivam Gupta,91,90,2,2,2,2
Wei-Cheng Lin,91,91,6,6,2,2
Carlos E. Arreche,90,60,6,5,5,2
Mohammed A. Eldeeb,90,88,4,4,2,2
Kaitlin Sands,90,90,5,5,3,3
Haowei Tai,90,90,5,5,3,3
Soudeh A Khoubrouy,89,58,7,5,2,1
Bayron Lennin Murillo,89,89,5,5,4,4
Thomas Riccio,88,30,6,3,2,0
Ajay Kaarthic Jeysree,88,88,1,1,1,1
Felix Mauersberger,88,86,3,3,2,2
Weijie Xu,87,86,6,6,5,4
Vandita D. Bhat,87,87,4,4,4,4
Sumair F Sunny,86,86,6,6,4,4
Antra Ganguly,85,85,5,5,4,4
Md. Abdullah Al Mamun,84,83,6,6,3,3
Liping Ma,84,56,2,2,1,1
Alakh Aggarwal,83,83,3,3,1,1
Juliana N. Saba,83,83,5,5,3,3
Soojin (Min) Conover,82,73,4,4,3,3
Yuchen Liang,80,67,5,4,1,1
Andy Amato,80,51,2,2,1,1
Jon Engel Craven,80,59,3,3,2,2
Larry Chasteen,80,35,4,4,1,1
Chris Irwin Davis,79,45,5,4,2,1
Emrah Cem,78,40,6,4,3,0
Afshin Alipour,78,74,5,5,2,2
Chen Li (李辰),78,78,5,5,2,2
Faeze Parsaee,78,77,3,3,2,2
Esmail Babakrpur,77,62,5,5,2,2
Ovidio Rodriguez-Lopez,77,77,5,5,3,3
Daniel Pacheco,76,38,1,1,1,1
Jingchen Liang,74,74,4,4,2,2
Abdullah Küçük,74,74,6,6,4,4
Hunter Stevenson,73,73,3,3,3,3
shunmugapriya ramanathan,73,31,4,4,1,0
Nastaran Nikooienejad,72,72,5,5,3,3
Vahid Moalemi,72,11,4,1,2,1
Alejandra Stefania Escalera Mendoza,72,72,3,3,2,2
Lidia El Bouanani,71,71,5,5,5,5
simin sheybani,70,65,2,2,2,2
Sabina Srokova,70,70,4,4,2,2
Xiangci Li,70,70,4,4,3,3
Yaning Liu,70,70,2,2,2,2
Vikas Paduvalli,69,63,5,4,3,3
Marisol Valdez,69,69,2,2,1,1
Liwei Zhou,69,68,4,4,4,4
Yalini H. Wijesundara,69,69,5,5,3,3
Lindsey Smith,68,46,3,3,3,2
Haan Johng,67,67,4,4,2,2
Shenggang Dong,67,66,5,5,2,2
Soraya Fatehi,67,63,4,4,3,3
Abraham Peedikayil Kuruvila,67,67,4,4,3,3
Charles Laffiteau,66,44,3,2,2,2
Dong Liujia,66,53,4,3,2,2
Jasmine Nojadera Tutol,66,66,4,4,3,3
Sleiman Safaoui,65,65,4,4,3,3
Qi Cheng,65,65,4,4,4,4
Shujie Gu,65,65,4,4,4,4
Behnam Torabi,64,64,4,4,4,4
Zhongyou Wu,64,58,4,4,1,1
A. K. M. Nur Alam Siddiki,64,58,5,5,3,2
Simbarashe (Simba) Mazambani,64,64,3,3,2,2
Changbin Li,64,54,5,5,2,2
Farhat Abbas,63,50,4,3,2,2
Fateme Najafkhani,63,63,2,2,2,2
Shevon Alexander,63,62,1,1,1,1
Muhammad Awais,62,62,5,5,3,3
Swapnil Dolui,62,62,3,3,2,2
Leunam Fernandez-Izquierdo,62,62,4,4,2,2
Alexander Murphy,62,62,5,5,2,2
Nicole Noushin Faraji,61,33,3,3,3,2
Monir Zaman,61,60,3,3,3,3
Jingxiang Tian,61,61,3,3,3,3
Sagar Davasam,60,28,4,2,3,1
Yazdan Maghsoud,60,55,5,5,2,1
Mary Brunson,60,40,5,3,2,1
Miles R. Larkin,59,42,3,3,2,2
Andrew Wei,59,53,3,3,2,2
Ranran Feng,58,45,4,4,3,1
Janet Johnson,58,36,2,2,1,1
Yuanqing Huang,58,58,2,2,2,2
Ibrahim Hossain Sajal,58,58,4,4,2,2
Andrew Frazelle,58,57,2,2,2,2
Rebecca Cordell,57,57,4,4,3,3
Sayeed Salam,57,57,5,5,1,1
Pracheta Sahoo,56,55,4,4,2,2
Vijay Narendra Kulkarni,56,56,3,3,2,2
Yukun Zhu,56,55,4,4,2,2
Glenn Gleason,56,56,4,4,3,3
Alireza Safaripour,55,54,2,2,1,1
Md Shihabul Islam,55,55,5,5,2,2
Abha Umesh Sardesai,55,55,5,5,1,1
"Marissa Higgins, Ph.D.",54,54,5,5,2,2
Ximing Zhou,54,54,4,4,2,2
Pengyuan Chen,54,52,4,4,2,2
Shujing Sun,54,53,3,3,1,1
Sanjay Neerukonda,54,54,3,3,2,2
Pratik B Vyas,53,50,4,4,2,2
PRANITH REDDY BYREDDY,53,53,4,4,1,1
Bharath Devaki,53,50,3,3,1,1
Shiwen Wu,53,51,4,4,2,2
Seong-Gyun Leem,53,53,3,3,2,2
Wei-Jen Cheng,52,50,1,1,1,1
ASHUTOSH SHRIVASTAVA,52,51,4,4,2,2
Chiradeep Roy,52,52,4,4,3,3
Ching-Tzu Tseng,52,51,3,3,3,3
Yigong WANG,52,52,4,4,3,3
Shantanu Kadlaskar,51,51,2,2,2,2
Lan Hu,51,47,4,4,2,2
Connor Donegan,51,50,3,3,1,1
qin zhou,51,51,4,4,2,2
Ritin Mathews,51,51,4,4,3,3
Nikhil Dhale,51,51,5,5,3,3
Yamini Jayabal,50,28,4,3,1,0
Mostafa Safavi,50,45,4,3,2,2
Ramakrishnan Pitchai Kumar,50,39,2,2,1,1
Xinglu Wang,50,50,4,4,2,2
"Asal (Baragchizadeh) Johnson, Ph.D.",50,50,3,3,2,2
Noirrit Kiran Chandra,50,49,5,5,3,3
Hung-Jui Guo,50,50,1,1,1,1
ABHIJIT BALAJI,50,50,2,2,2,2
Maxwell Weinzierl,50,50,4,4,1,1
Hong-An Wu,49,45,2,2,2,2
Zhen Lu,49,39,5,4,1,0
Chenglong Duan,49,45,3,3,2,2
Tarjani Shukla,49,49,5,5,2,2
Ali Saadat,49,49,4,4,2,2
Behnoush Dousti,46,37,3,3,2,2
Ninad Khargonkar,46,46,3,3,1,1
Youngrok Kim,46,46,2,2,2,2
Amin Abbasalipour,45,44,4,4,0,0
Shobhana Ganesh,45,45,3,3,2,2
Yile Wang,45,45,3,3,2,2
Soumya Sourav,45,45,2,2,2,2
Barbara Maweu,45,45,3,3,2,2
"Michelle N. Harris, Ph.D.",44,41,4,4,1,1
Pablo Tirado,44,44,3,3,2,2
Ian Abenes,44,44,3,3,1,1
Susana Borbon,44,43,3,3,1,1
Josiah Smith,44,44,4,4,2,2
Yunan Wu,44,44,3,3,2,2
Xiaodi Li,43,43,4,4,2,2
Akib Jabed,43,43,3,3,1,1
Prapti Mody,43,43,4,4,2,2
Sagnik Dakshit,43,43,3,3,2,2
TI Tongil Kim,42,39,4,3,2,2
Sepideh Rahmatinia,42,28,3,2,2,1
Samitha D Panangala,42,42,3,3,2,2
Cristhian Garcia-Quintero,42,42,4,4,2,2
Lakitha Omal Harindha Wijeratne,42,42,2,2,2,2
Ziyu Chen,42,42,3,3,3,3
Vahid Qaradaghi,41,38,4,4,1,1
Yang Yu,41,41,2,2,1,1
Liang Han,41,41,2,2,2,2
Bo Hu,41,41,3,3,2,2
Shilyh Warren,40,31,4,4,2,1
Georgia K. Stuart,40,40,2,2,2,2
Moinak Pyne,40,38,5,5,1,1
Parinaz Sadat Alemi,40,40,3,3,1,1
Lakshmi Narayanan Mosur Saravana Murthy,40,40,4,4,0,0
Harsha Kokel,40,39,3,3,2,2
Zakia Akter,40,40,3,3,2,2
Melissa E Lenert,40,39,3,3,2,2
Yeqi Wang,39,39,4,4,2,2
Sepehr Sadeh,39,35,4,4,1,1
Sanjay Gopalan,39,39,3,3,2,2
Katherine M Garner,39,39,3,3,1,1
Amirhossein Azami,39,39,3,3,2,2
Zeinab Delaram,39,34,2,2,2,2
HAITAO LYU,39,28,3,3,2,1
Fei Tang,38,31,3,2,1,1
Wasif Haque,38,38,1,1,1,1
Huaduo Wang,37,37,4,4,0,0
Mohammad Ali Ghaderi,36,18,4,2,1,1
David Allen,36,36,3,3,2,2
Natalia Lamberova,36,33,2,2,2,1
Nathan Kodjo Mintah Churcher,36,36,2,2,1,1
Deepak Monga,36,36,3,3,1,1
Behnam M. Mosammam,35,35,4,4,1,1
Yuning Qiu,35,35,4,4,2,2
Aniket Joshi,34,34,2,2,1,1
Hailiang Dong,34,34,3,3,0,0
John Petty,34,23,2,2,1,1
Peng Peng Zheng,34,34,2,2,1,1
Bashir Hosseini Jafari,34,34,4,4,0,0
Minh Ha Tran,34,34,2,2,2,2
Nathan Beck,34,34,2,2,1,1
Khatereh Ahadi,33,33,3,3,1,1
Jedson Pinto,33,33,2,2,1,1
Soumyadeep Choudhury,33,33,1,1,1,1
Jubeyer Rahman,33,32,3,3,2,2
Mujibur Rahman Chowdhury,33,33,2,2,2,2
Shengjie Li,33,33,2,2,1,1
Xiao Li,33,33,3,3,2,2
Chenxu Zhang,33,33,2,2,1,1
Benjamin Swedlove,32,18,1,1,1,1
Minghua Li,32,23,3,3,1,1
Mehrdad Rostami Osanloo,32,32,3,3,2,2
Manasvini Ammanamanchi,32,32,2,2,1,1
Nan Guo,32,32,2,2,1,1
Zaid Bin Tariq,31,29,2,2,1,1
Shervin Shahrokhi Tehrani,31,26,3,2,1,1
Noha Helal,31,28,3,3,1,1
Sebastian Faundez,31,12,2,2,1,0
Tanya Mohan Tukade,31,31,1,1,1,1
David Rheams,31,31,2,2,1,1
Ryan Scott Teschner,31,30,4,4,0,0
Bingxu Luo,31,31,3,3,1,1
Sara Akbarzadeh,31,30,3,3,1,0
Chiho Yoon,31,31,3,3,1,1
Brian Nguyen,31,31,2,2,2,2
McClain Watson,31,14,3,2,2,0
Austen C Adams,31,31,3,3,1,1
Nitish Salwan,30,11,1,1,1,1
David T. Katopody,30,20,4,3,0,0
Jainish Adesara,30,30,2,2,1,1
Md Sanower Hossain,30,29,2,2,1,1
Jae Won Choi,30,30,2,2,2,2
Behnam Pouya,29,29,1,1,1,1
Md Imrul Hasan,29,29,3,3,1,1
Vignesh Raghuraman,29,29,3,3,1,1
Ekarin Eric Pongpipat,29,29,3,3,1,1
Saichethan M. Reddy,29,29,3,3,0,0
Aoxin Ni,29,29,1,1,1,1
Negar Geramifard,29,29,2,2,1,1
Sagar Patil,28,20,1,1,1,1
Harichandan Roy,28,21,3,3,2,1
Hiu Ching Kam,28,28,2,2,1,1
Mojtaba Afshar,28,28,3,3,1,1
"Dr. Priyanka Basak, Ph.D.",28,26,3,3,1,1
Federico Siano,28,28,3,3,2,2
Huiluo Chen,28,28,2,2,1,1
Mufan Sang,28,28,3,3,0,0
Ching Wen Tseng,28,24,2,2,2,1
Chih-Lun Chang,27,22,3,2,1,1
Valerie G. Womack,27,26,1,1,1,1
Chen Cheng,27,8,2,1,1,0
Sivaram Cheruvu,27,27,3,3,1,1
Rafael Copat,27,6,3,2,1,0
Prashanth Gowda,27,27,2,2,2,2
Sachini  D Perera,27,27,2,2,1,1
Farah Naz Taher,26,23,3,3,0,0
Baokun He,26,26,3,3,1,1
Matthew Heard,26,26,2,2,1,1
Hootan Rahimi,26,26,2,2,1,1
Darsh Shah,26,26,1,1,1,1
Feng Zhang,26,24,4,4,1,1
Hossein Razmi Bagtash,26,26,1,1,1,1
Augustine Annan,26,26,3,3,1,1
Sampath Kumar Grandhi,25,25,3,3,1,1
Blesson Paul,25,23,2,2,1,1
Jeri Luckenbaugh,25,25,1,1,1,1
Tianliang Zhang,25,25,2,2,1,1
Whitney S. Y. Ong,25,25,3,3,0,0
Kathryn Kreidler,25,24,1,1,1,1
Zihe Song,25,25,3,3,1,1
Elen Nas,25,25,2,2,1,1
Zhenyu Wang,25,25,3,3,0,0
Erick Skorupa Parolin,25,25,3,3,0,0
Lance Kyle Bennett,24,24,3,3,1,1
Subha N Sarcar,24,24,3,3,1,1
Ayon Quayum,24,22,2,2,1,1
James M.H. Tran,24,24,1,1,1,1
Jake Smith,24,24,2,2,1,1
RUSHIKESH PATEL,24,21,2,2,1,1
Sakib Reza,24,24,3,3,1,1
Harsh Dave,24,24,3,3,1,1
Vaibhav Uttam Pawaskar,24,24,3,3,1,1
Md Arafat Hossain Khan,23,11,3,2,1,0
Ramesh Padmanabhan,23,22,3,3,0,0
Ziyang Luo,23,23,2,2,1,1
Yibo Hu,23,20,3,3,0,0
Chanda Bhandari,23,23,2,2,1,1
Arefeh Shafie,23,23,2,2,1,1
Pratik Autee,22,22,2,2,1,1
xingyu meng,22,21,3,3,0,0
Chandra Varma Ponnurangam,21,17,2,2,2,1
Brenda Gambol,21,19,1,1,1,1
Sara Rouhani,21,21,3,3,0,0
"Modumudi, S. Madhav.",21,21,1,1,1,1
Deborah Stott,21,6,3,1,0,0
Judd D. Bradbury,21,20,2,2,1,1
Brett Cease,21,21,2,2,1,1
Ching-Yi Chang,21,8,1,1,1,0
Julian Enoch,21,21,2,2,1,1
Ryan Margolis,21,21,3,3,0,0
Feng Mi,21,21,2,2,1,1
Jahnavi Srividya Subramaniam,21,21,3,3,0,0
Hajira Elahi,21,21,3,3,1,1
Roshni  Anna Jacob,21,21,3,3,0,0
Minhas Kamal,21,19,1,1,1,1
Santosh Kumar Rana,20,20,3,3,0,0
Samir Mamadehussene,20,19,2,2,0,0
Federico Bernardoni,20,20,3,3,0,0
Arvin Honari,20,20,3,3,1,1
Mariana Herrera-Lara,20,20,1,1,1,1
Nirjal Sapkota,20,17,1,1,1,1
Shalini Keshavamurthy,19,6,1,1,1,0
Christine Veras,19,5,1,1,1,0
Xia Si,19,16,2,2,1,1
Adnan Basir Patwary,19,19,3,3,0,0
Genchang Peng,19,19,3,3,1,1
Mirazul Haque,19,19,2,2,1,1
Anki Chauhan,19,19,2,2,1,1
Benjamin W. Walker,19,19,1,1,1,1
Anastasia Dubrovina,19,19,1,1,1,1
Nicole K. Aragon,19,19,2,2,1,1
Xiaotao Xu,19,19,2,2,1,1
Zijing Tian,19,13,3,3,0,0
Serena Wenjing Xiao,19,19,2,2,1,1
John Gamino,18,4,1,1,1,0
Zubin Sunkad,18,18,1,1,1,1
Pingle Wang,18,18,3,3,0,0
Chao Long,18,18,3,3,1,1
Alejandro Abraham,18,18,1,1,1,1
Eder M. Cedeño-Morales,18,18,3,3,1,1
Valeriia Iziumchenko,18,18,1,1,1,1
Srivignesh Sankarraman,18,18,2,2,1,1
Hazhir Mahmoodi Nasrabadi,18,18,3,3,0,0
Adam Shebindu,18,18,2,2,1,1
Srushti Sachdev,18,18,1,1,1,1
Hossein Zahed,17,14,1,1,1,1
Jai Singh Rajput,17,17,1,1,1,1
Lixiong Du,17,17,2,2,1,1
Ziaul Haque,17,17,3,3,0,0
Md Imtiaz Rashid,17,17,2,2,1,1
Ning Wang,17,14,3,3,0,0
SHASHA JIN,17,17,2,2,1,1
Muhammad Musab Farooq,17,17,2,2,1,1
Linlin Yu,17,17,1,1,1,1
Yan-ting Liau,17,14,2,2,0,0
Simin Chen,17,17,2,2,0,0
Xurui Zhang,17,17,2,2,1,1
Lauren Ratliff Santoro,17,16,2,2,1,1
Disha Biswas,17,17,2,2,1,1
Shiva Thiagarajan,17,17,1,1,1,1
Wenyao Gu,17,17,3,3,0,0
Shreyas Gokhale,16,15,2,2,1,1
Xiaomeng Wang,16,16,2,2,0,0
Satwik Dutta,16,16,2,2,1,1
Julie M Fratantoni,16,15,2,2,1,1
Peter Reyntjens,16,16,2,2,1,1
Carlos Daniel Gutierrez Mannix,16,16,2,2,1,1
Haokun Wang,16,16,3,3,0,0
Negin Enayaty Ahangar,16,16,2,2,1,1
Alex Garcia Topete,15,15,2,2,1,1
Sherief S. Helwa,15,15,1,1,1,1
Matthew Joslin,15,15,3,3,0,0
Amin Birashk,15,15,1,1,1,1
Aref Asvadishirehjini,15,15,2,2,0,0
Munawara Saiyara Munia,15,15,2,2,1,1
Subhajit Maity,15,15,1,1,1,1
Godwin K. Babanyinah,15,15,1,1,1,1
CHEN XIE,15,15,2,2,0,0
Wasi Uddin Ahmed,15,15,1,1,1,1
Chuan-Fa Tang,14,14,2,2,0,0
Kenneth L. Brewer,14,4,3,1,0,0
Gautham Sai M R,14,14,2,2,1,1
Miyoung Choi,14,14,1,1,1,1
Khandakar Ashrafi Akbar,14,13,2,2,0,0
Hao Xiong,14,14,3,3,0,0
Mohammad Waliullah,14,13,2,2,0,0
Yuqiao Chen,14,14,2,2,1,1
Hwayoung Kim,14,14,2,2,1,1
Anani Komla Adabrah,14,14,2,2,1,1
Betsiti Araya,14,14,1,1,1,1
Yunjie Zhang,14,14,3,3,0,0
Alsadig Ali,14,14,2,2,0,0
Ahmad sayeed sayem,14,14,2,2,0,0
Marie L. Mortensen,14,14,1,1,1,1
Amey Kelkar,13,8,1,1,1,0
Pingakshya Goswami,13,12,2,2,0,0
Saurabh Mathur,13,12,3,3,0,0
Namra Shah,13,13,2,2,1,1
Arslan Umer,13,13,1,1,1,1
Alec M. Steele,13,13,2,2,0,0
Austin Mordahl,13,13,2,2,1,1
Zesheng Xu,13,13,1,1,1,1
Ashraf keewan,13,13,2,2,0,0
Jiamin Xie,13,13,1,1,1,1
Mohamed H. Mahmoud,12,12,1,1,1,1
Muhammad Abbas,12,12,2,2,0,0
Miren Tanna,12,5,1,1,1,0
Seyed Javad Jafarzadeh,12,12,2,2,0,0
Saloni Agarwal,12,12,2,2,0,0
Nikita Mahjabeen,12,12,2,2,0,0
Al-Mustasin Abir Hossain,12,12,2,2,0,0
Zongyang DU,12,12,2,2,0,0
Matteo Puccioni,12,12,2,2,0,0
Ashwin Bhobani Baral,12,12,2,2,0,0
Mohammed Allama Hossain,12,12,2,2,0,0
Bharana Ashen Fernando,12,12,1,1,1,1
Xueqi Xu,12,12,2,2,0,0
Chao Pan,12,12,2,2,0,0
Ojas Sonnis,11,11,1,1,1,1
Yuanzhen Guo,11,11,2,2,0,0
Jishnu Jaykumar P,11,11,2,2,0,0
Emmanuvel Joseph Aju,11,11,3,3,0,0
Luz Martinez-Lucas,11,11,1,1,1,1
Chang Liu,11,11,2,2,0,0
Stephanie L. Fowler,11,11,1,1,1,1
Hamed Nikfarjam,11,11,2,2,0,0
Athresh Karanam,11,11,1,1,1,1
Brandon Nunley,11,11,1,1,1,1
AVIJIT BERA,11,11,2,2,0,0
Allan C. Mathew,11,11,1,1,1,1
Adil Khan,11,11,1,1,1,1
Federico Ferrero,11,8,2,2,0,0
Wei Li,10,4,1,1,0,0
Kathryn Evans,10,5,2,1,0,0
Torrie A. Cropps,10,10,2,2,0,0
Yi-Hui Lee,10,10,2,2,0,0
Yuzhe Ou,10,10,2,2,0,0
Esha Bangar,10,10,2,2,0,0
Dhanush Bhamitipadi Suresh,10,10,3,3,0,0
Shailendra Koirala,10,10,2,2,0,0
Runyu Zhang,10,10,1,1,0,0
Kun Qian,10,10,1,1,1,1
